logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
2737,https://www.logainm.ie/2737.aspx,Machaire Lainne,Magheralin,bilingual,PAR,civil parish,,,,0,0,False,manual_or_spatial_review
56408,https://www.logainm.ie/56408.aspx,Clann Ghiolla Mhuire,Clankilvoragh,bilingual,BF,townland,,,PAR:Magheralin,54.47365571678912,-6.307184428294258,True,manual_or_spatial_review
56409,https://www.logainm.ie/56409.aspx,,Derrylisnahavil,english_only,BF,townland,,,PAR:Magheralin,54.46838081278828,-6.310515418399317,True,manual_or_spatial_review
56410,https://www.logainm.ie/56410.aspx,,Donagreagh,english_only,BF,townland,,,PAR:Magheralin,54.48056996277618,-6.301821053339079,True,manual_or_spatial_review
57054,https://www.logainm.ie/57054.aspx,Ard Saileach,Sallymount,bilingual,BF,townland,,Dublin,PAR:Donnybrook,53.3272134328965,-6.23316926768638,True,recover_from_existing_hierarchy
57110,https://www.logainm.ie/57110.aspx,Gort Anna,Annefield,bilingual,BF,townland,,Dublin,PAR:Donnybrook,53.374339270992685,-6.4061509362075455,True,recover_from_existing_hierarchy
57173,https://www.logainm.ie/57173.aspx,Teach an tSagairt,Priesthouse,bilingual,BF,townland,,Dublin,PAR:Donnybrook,53.31036019475004,-6.21658948419257,True,recover_from_existing_hierarchy
100000,https://www.logainm.ie/100000.aspx,Aontroim,Antrim,bilingual,CON,county,,Antrim,,54.8255393697497,-6.143321918224949,True,expected_county_root
100001,https://www.logainm.ie/100001.aspx,Ard Mhacha,Armagh,bilingual,CON,county,,Armagh,,54.3121496707865,-6.5295356604953,True,expected_county_root
100002,https://www.logainm.ie/100002.aspx,Baile Átha Cliath,Dublin,bilingual,CON,county,,Dublin,,53.42003534537873,-6.2065279564081886,True,expected_county_root
100003,https://www.logainm.ie/100003.aspx,An Cabhán,Cavan,bilingual,CON,county,,Cavan,,54.021621885598854,-7.3845403072125775,True,expected_county_root
100004,https://www.logainm.ie/100004.aspx,Ceatharlach,Carlow,bilingual,CON,county,,Carlow,,52.75068389034978,-6.789983390545773,True,expected_county_root
