logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
296,https://www.logainm.ie/296.aspx,Na hOirthir Uachtaracha,Orior Upper,bilingual,BAR,barony,Armagh | Down,Armagh | Down,CON:Armagh | CON:Down,54.141949640632205,-6.431363507153001,True,administrative_boundary_review
2121,https://www.logainm.ie/2121.aspx,Caisleán Mhic Conchúir,Castleconor,bilingual,PAR,civil parish,Mayo | Sligo,Mayo | Sligo,CON:Mayo | CON:Sligo | BAR:Tireragh | BAR:Tireragh,54.17005187965308,-9.062433977587407,True,administrative_boundary_review
2338,https://www.logainm.ie/2338.aspx,Teampall Uí Bhrídeáin,Templebredon,bilingual,PAR,civil parish,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary | BAR:Coonagh | BAR:Clanwilliam,52.49990920368773,-8.347233703249227,True,administrative_boundary_review
2751,https://www.logainm.ie/2751.aspx,An tIúr,Newry,bilingual,PAR,civil parish,Armagh | Down,Armagh | Down,CON:Armagh | CON:Down | BAR:Oneilland West | BAR:Orior Upper,54.2804919925629,-6.43413878111198,True,administrative_boundary_review
3254,https://www.logainm.ie/3254.aspx,,Bunclody-Carrickduff,english_only,ID,population centre,Carlow | Wexford,Carlow | Wexford,CON:Carlow | CON:Wexford | BAR:Forth | BAR:Scarawalsh | PAR:Barragh | PAR:Saint Mary's Newtownbarry,52.65563709289534,-6.655691771533817,True,administrative_boundary_review
28604,https://www.logainm.ie/28604.aspx,Cúil an tSúdaire,Portarlington,bilingual,B,town,Laois | Offaly,Laois | Offaly,CON:Laois | CON:Offaly | BAR:Portnahinch | BAR:Philipstown Upper | PAR:Lea | PAR:Clonyhurk,53.16059605234738,-7.190257842234528,True,administrative_boundary_review
55594,https://www.logainm.ie/55594.aspx,Buaile na Sceiche,Ballinaskea,bilingual,BF,townland,Cork | Wicklow,Cork | Wicklow,CON:Wicklow | CON:Cork | BAR:Ballinacor South | CTH:Cork | CBA:Arklow | PAR:Ballinacor | TR:Knockrath,52.979937925991145,-6.431321301271071,True,administrative_boundary_review
58474,https://www.logainm.ie/58474.aspx,,Macfinn Lower,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Derry | BAR:North-East Liberties of Coleraine | CON:Antrim | PAR:Ballymoney | BAR:Dunluce Upper,55.0820606056164,-6.5963439262205,True,administrative_boundary_review
62149,https://www.logainm.ie/62149.aspx,,Ballygan Upper,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.086147313773424,-6.58109756673654,True,administrative_boundary_review
62162,https://www.logainm.ie/62162.aspx,,Ballywindelland Upper,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.0935094877411,-6.589717690501136,True,administrative_boundary_review
62179,https://www.logainm.ie/62179.aspx,,Colebreene Lower,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.08279006896932,-6.606589245781494,True,administrative_boundary_review
62208,https://www.logainm.ie/62208.aspx,,Heagles,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.115915926617035,-6.568819384337778,True,administrative_boundary_review
62231,https://www.logainm.ie/62231.aspx,,Seacon Lower,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.09286477050973,-6.571909919560314,True,administrative_boundary_review
62232,https://www.logainm.ie/62232.aspx,,Seacon More,english_only,BF,townland,Antrim | Derry,Antrim | Derry,CON:Antrim | BAR:Dunluce Upper | CON:Derry | BAR:North-East Liberties of Coleraine | PAR:Ballymoney,55.1013755638389,-6.5647973666277935,True,administrative_boundary_review
67159,https://www.logainm.ie/67159.aspx,An Airglinn,Araglin River,bilingual,ABH,river,Cork | Tipperary | Waterford,Cork | Tipperary | Waterford,CON:Cork | CON:Waterford | CON:Tipperary,52.20632750176818,-8.058517891364364,True,plausible_cross_boundary_feature
67168,https://www.logainm.ie/67168.aspx,An Chlaoideach,Bilboa River,bilingual,ABH,river,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.65415449599929,-8.22537230061047,True,plausible_cross_boundary_feature
67183,https://www.logainm.ie/67183.aspx,Gleann an Chláir,Clare Glen,bilingual,GL,valley,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.68471434876757,-8.395601607525697,True,plausible_cross_boundary_feature
67184,https://www.logainm.ie/67184.aspx,Abhainn an Chláir,Clare River,bilingual,ABH,river,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.6999074102671,-8.26481192965452,True,plausible_cross_boundary_feature
67200,https://www.logainm.ie/67200.aspx,Na Gaibhlte,Galty Mountains | Galtee Mountains,bilingual,SL,mountain or mountain range,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.37115519096123,-8.1622567959858,True,plausible_cross_boundary_feature
67201,https://www.logainm.ie/67201.aspx,Cnoc Mór na nGaibhlte,Galtymore Mountain,bilingual,SL,mountain or mountain range,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.3666403501448,-8.17692263812664,True,plausible_cross_boundary_feature
67203,https://www.logainm.ie/67203.aspx,Gleann Eatharlaí,Glen of Aherlow,bilingual,GL,valley,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.42149610271988,-8.154356200931748,True,plausible_cross_boundary_feature
67207,https://www.logainm.ie/67207.aspx,Machaire na Mumhan,Golden Vale,bilingual,D,locality,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.48666887664673,-8.143542502079784,True,plausible_cross_boundary_feature
67220,https://www.logainm.ie/67220.aspx,Sléibhte Chnoc Mhaoldomhnaigh,Knockmealdown Mountains,bilingual,SL,mountain or mountain range,Tipperary | Waterford,Tipperary | Waterford,CON:Waterford | CON:Tipperary,52.22563425037188,-7.91364867268432,True,plausible_cross_boundary_feature
67224,https://www.logainm.ie/67224.aspx,An Loinneán,Lingaun River,bilingual,ABH,river,Kilkenny | Tipperary,Kilkenny | Tipperary,CON:Kilkenny | CON:Tipperary | BAR:Iverk | BAR:Iffa and Offa East | PAR:Tibberaghny | PAR:Newtownlennan,52.419530308648575,-7.474475631963422,True,plausible_cross_boundary_feature
67225,https://www.logainm.ie/67225.aspx,An Bhrosnach Bheag,Little Brosna River,bilingual,ABH,river,Offaly | Tipperary,Offaly | Tipperary,CON:Tipperary | CON:Offaly,53.139206097077846,-8,True,plausible_cross_boundary_feature
67232,https://www.logainm.ie/67232.aspx,An Mhaoilchearn,Mulkear River,bilingual,ABH,river,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | BAR:Clanwilliam | PAR:Clonkeen | BF:Clonkeen (Molyneux) | BF:Clonkeen (Barrington) | CON:Tipperary,52.67928453040949,-8.406643098149289,True,plausible_cross_boundary_feature
67235,https://www.logainm.ie/67235.aspx,An Abha Mhuimhneach,Munster River,bilingual,ABH,river,Kilkenny | Tipperary,Kilkenny | Tipperary,CON:Kilkenny | CON:Tipperary,52.600204850968304,-7.48043424723679,True,plausible_cross_boundary_feature
67239,https://www.logainm.ie/67239.aspx,Abhainn Uaithne,Newport River,bilingual,ABH,river,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.70212299072583,-8.429047297012968,True,plausible_cross_boundary_feature
67241,https://www.logainm.ie/67241.aspx,Abhainn Chalatroma,Ollatrim River,bilingual,ABH,river,Offaly | Tipperary,Offaly | Tipperary,CON:Tipperary | BAR:Ormond Upper | PAR:Aghnameadle | BF:Ollatrim | CON:Offaly,52.8893550734269,-8.074291818973167,True,plausible_cross_boundary_feature
67248,https://www.logainm.ie/67248.aspx,An Eatharlach,River Aherlow,bilingual,ABH,river,Limerick | Tipperary,Limerick | Tipperary,CON:Limerick | CON:Tipperary,52.4215308118473,-8.12495509554491,True,plausible_cross_boundary_feature
67251,https://www.logainm.ie/67251.aspx,Abhainn na Fuinseann,River Funshion,bilingual,ABH,river,Cork | Limerick | Tipperary,Cork | Limerick | Tipperary,CON:Cork | BAR:Condons and Clangibbon | PAR:Aghacross | PAR:Derryvillane | CON:Limerick | CON:Tipperary,52.24334711128445,-8.263550022366994,True,plausible_cross_boundary_feature
67253,https://www.logainm.ie/67253.aspx,An Uidhir,River Nier | The Nier,bilingual,ABH,river,Tipperary | Waterford,Tipperary | Waterford,CON:Waterford | BAR:Glenahiry | BAR:Upperthird | PAR:Mothel | BF:Coolnahorna | CON:Tipperary,52.27489406782681,-7.780219319142581,True,plausible_cross_boundary_feature
67254,https://www.logainm.ie/67254.aspx,An Fheoir,River Nore,bilingual,ABH,river,Kilkenny | Laois | Tipperary | Waterford,Kilkenny | Laois | Tipperary | Waterford | Wexford,CON:Kilkenny | BAR:Shillelogher | BAR:Crannagh | BAR:Ida | BAR:Kilkenny | CON:Laois | CON:Waterford | CON:Tipperary,52.902209515698694,-7.782260516715038,True,plausible_cross_boundary_feature
67256,https://www.logainm.ie/67256.aspx,An tSiúir,River Suir,bilingual,ABH,river,Kilkenny | Tipperary | Waterford,Kilkenny | Tipperary | Waterford,CON:Kilkenny | CON:Waterford | CON:Tipperary,52.69567139928993,-7.907546644774653,True,plausible_cross_boundary_feature
67264,https://www.logainm.ie/67264.aspx,Sliabh Ardach,Slieveardagh Hills | Slievardagh Hills,bilingual,SL,mountain or mountain range,Kilkenny | Tipperary,Kilkenny | Tipperary,CON:Kilkenny | CON:Tipperary,52.644456021605805,-7.531623808753891,True,plausible_cross_boundary_feature
101065,https://www.logainm.ie/101065.aspx,An Cheacha,Caha Mountains,bilingual,SL,mountain or mountain range,Cork | Kerry,Cork | Kerry,CON:Kerry | CON:Cork | BAR:Bear | BAR:Glanarought,51.73465395727389,-9.737263467520009,True,plausible_cross_boundary_feature
101183,https://www.logainm.ie/101183.aspx,An Fhéil,River Feale,bilingual,ABH,river,Cork | Kerry | Limerick,Cork | Kerry | Limerick,CON:Kerry | BAR:Trughanacmy | PAR:Brosna | CON:Cork | CON:Limerick,52.376970599679694,-9.431900491075368,True,plausible_cross_boundary_feature
101200,https://www.logainm.ie/101200.aspx,An Gháile,Galey River,bilingual,ABH,river,Kerry | Limerick,Kerry | Limerick,CON:Kerry | BAR:Iraghticonnor | PAR:Galey | CON:Limerick,52.449377443875996,-9.390113459618837,True,plausible_cross_boundary_feature
101224,https://www.logainm.ie/101224.aspx,Bealach Scairte,Healy Pass,bilingual,BEAR,pass,Cork | Kerry,Cork | Kerry,CON:Kerry | BAR:Glanarought | PAR:Tuosist | CON:Cork | BAR:Bear | BF:Coolcreen,51.72133,-9.75644,True,plausible_cross_boundary_feature
101226,https://www.logainm.ie/101226.aspx,Cnoc Daod,Knockday or Hungry Hill,bilingual,SL,mountain or mountain range,Cork | Kerry,Cork | Kerry,CON:Cork | BAR:Bear | CON:Kerry | BAR:Glanarought | PAR:Killaconenagh | PAR:Tuosist | BF:Rossmackowen Commons,51.6798787337917,-9.79300911209099,True,plausible_cross_boundary_feature
